estado_atual,estado_seguinte,frequencia,recompensa_media,probabilidade_transicao
p24,p26,1,-2.73,0.01
p24,p4,11,-1.21,0.1
p24,p5,4,-1.64,0.04
p24,p9,1,-0.84,0.01
p26,b30,2,-1.5,0.05
p26,c27,8,-1.55,0.19
p26,c6,1,-2.73,0.02
p26,c7,3,-2.73,0.07
p26,g2,7,-2.73,0.17
p26,g3,9,-2.73,0.21
p26,l32,1,-2.73,0.02
p26,p28,1,-2.73,0.02
p26,p4,5,-1.98,0.12
p26,p5,5,-1.6,0.12
p28,b12,3,-2.73,0.07
p28,b30,1,-2.73,0.02
p28,c10,18,-2.23,0.39
p28,c27,5,-1.86,0.11
p28,c31,1,-0.84,0.02
p28,c38,1,-2.73,0.02
p28,g3,1,-2.73,0.02
p28,i16,2,-2.73,0.04
p28,l32,1,-2.73,0.02
p28,p0,6,-2.42,0.13
p28,p1,1,-2.73,0.02
p28,p20,1,-2.73,0.02
p28,p4,1,-0.84,0.02
p28,p5,1,-2.73,0.02
p28,p9,3,-0.65,0.07
p29,c7,1,-2.73,0.12
p29,g2,5,-2.73,0.62
p29,g3,1,-2.73,0.12
p29,p0,1,-2.73,0.12
p33,c11,1,-2.73,0.2
p33,c27,1,-0.84,0.2
p33,c34,1,-2.73,0.2
p33,g2,1,-2.73,0.2
p33,p5,1,-2.73,0.2
p37,48,1,-0.26,0.02
p37,l40,3,-2.1,0.06
p37,p0,8,-1.95,0.17
p37,p28,5,-1.6,0.11
p37,p5,2,-2.73,0.04
p37,p8,2,-2.73,0.04
p37,p9,26,-1.91,0.55
p4,b12,3,-1.28,0.02
p4,b13,4,-2.26,0.03
p4,c10,4,-1.17,0.03
p4,c11,4,-0.46,0.03
p4,c27,9,-1.26,0.06
p4,c34,1,-0.84,0.01
p4,c6,4,-1.17,0.03
p4,g2,9,-2.31,0.06
p4,g3,9,-2.73,0.06
p4,i16,2,-2.73,0.01
p4,l14,2,-2.73,0.01
p4,p0,9,-2.31,0.06
